SMILES,Set,Actual,Predicted,ALogPS_logS,Mi:(Dragon7),nBM:(Dragon7),PCR:(Dragon7),VE2_Dz(Z):(Dragon7),VR2_Dz(Z):(Dragon7),SpDiam_B(m):(Dragon7),EE_B(m):(Dragon7),AVS_B(v):(Dragon7),SpPosA_B(v):(Dragon7),SpMax_B(v):(Dragon7),SpPosA_B(p):(Dragon7),SpMax_B(p):(Dragon7),EE_B(s):(Dragon7),GATS1i:(Dragon7),SpMax1_Bh(v):(Dragon7),SpMax4_Bh(s):(Dragon7),SpMin1_Bh(e):(Dragon7),SpMax_EA(bo):(Dragon7),TDB01v:(Dragon7),TDB03v:(Dragon7),Uc:(Dragon7),MLOGP:(Dragon7),ALOGP:(Dragon7),ALOGP2:(Dragon7),Residual,Standardized_Residual,Prediction_Quality
OC(=O)CC(O)(CC(O)=O)C(O)=O,Training,-10.7,4.6895505337503876,-0.26,1.149,3,1.078,0.211,0.897,5.095,4.788,3.002,1.188,3.484,1.084,3.437,8.897,1.287,3.661,6.446,1.717,3.618,0.813,1.318,2.0,-1.169,-1.395,1.946,-15.389550533750388,-0.9041603948371139,Good
CCOC(=O)CC(CC(=O)OCC)(OC(C)=O)C(=O)OCC,Training,12.1,11.457960776072706,-2.52,1.142,4,1.055,0.151,0.937,5.161,5.23,3.048,1.209,3.512,1.15,3.459,8.874,1.784,3.703,7.426,1.746,3.705,0.74,1.269,2.322,1.219,0.783,0.614,0.6420392239272932,0.03772081822233361,Good
CC(CCO)CCC=C(C)C,Training,92.9,47.82017207101197,-2.27,1.141,1,1.073,0.277,0.877,4.561,4.347,2.948,1.221,3.283,1.206,3.283,6.496,1.476,3.716,3.658,1.833,2.906,0.678,0.949,1.0,2.749,3.049,9.297,45.07982792898804,2.6485110744511156,Bad
NC(=O)N(O)[C@H]1C[C@@H](OC2=CC=CC(OC3=CC=C(F)C=C3)=C2)C=C1,Training,93.0,62.824359501882384,-4.56,1.131,14,1.367,0.18,1.061,5.395,5.446,3.417,1.268,3.675,1.225,3.656,8.776,0.989,3.883,4.955,1.902,3.733,0.878,1.394,3.907,2.56,2.611,6.818,30.175640498117616,1.772866528324261,Good
NC1=NC(Cl)=NC2=C1N=CN2[C@H]1C[C@H](O)[C@@H](CO)O1,Training,6.3,8.378694151592951,-1.65,1.152,10,1.313,0.214,1.081,5.842,5.329,3.401,1.259,3.89,1.218,3.849,7.427,1.703,3.945,4.883,1.794,4.608,0.858,1.455,3.459,0.953,-0.398,0.159,-2.078694151592951,-0.12212656378287744,Good
C[C@@H](OC1=CC=C(OC2=NC=C(Cl)C=C2F)C=C1)C(=O)OCC#C,Training,57.3,71.96680322819026,-4.74,1.122,14,1.364,0.182,1.023,5.597,5.53,3.398,1.282,3.698,1.245,3.673,8.728,1.093,3.85,5.03,1.88,3.902,0.928,1.642,3.907,3.332,5.122,26.24,-14.666803228190261,-0.8616978493761808,Good
CCOC(=O)C(C)(C)OC1=CC=C(Cl)C=C1,Training,42.1,61.86915183953627,-3.92,1.126,7,1.222,0.227,0.974,5.475,5.098,3.248,1.263,3.639,1.241,3.631,7.661,1.379,3.836,4.435,1.873,3.693,0.83,1.381,3.0,2.931,3.33,11.09,-19.76915183953627,-1.1614688871926406,Good
OC(=O)C1=C(Cl)C=CC(Cl)=N1,Training,30.8,55.306654280487365,-1.64,1.117,7,1.291,0.26,0.969,5.685,5.046,3.344,1.29,3.715,1.272,3.702,7.869,1.154,3.801,4.673,1.815,3.985,1.117,2.173,3.0,1.342,2.25,5.064,-24.506654280487364,-1.4398046363854577,Good
OC1=C(CC2=CC=CC=C2)C=C(Cl)C=C1,Training,105.0,96.19937878599688,-3.79,1.102,12,1.396,0.244,1.036,5.597,5.09,3.519,1.323,3.723,1.318,3.722,6.827,0.848,3.924,4.158,1.964,3.9,0.956,1.593,3.7,3.93,4.202,17.65,8.800621214003115,0.5170503930062341,Good
Cl.COC(=O)C(N)CC1=CN=CN1,Training,85.7,39.919857533440585,-0.43,1.155,6,1.2,0.27,0.965,4.984,4.683,3.207,1.241,3.515,1.2,3.476,7.623,1.693,3.766,4.477,1.706,3.499,0.738,1.216,2.807,-0.489,-0.901,0.813,45.78014246655942,2.689655659370088,Bad
COC1=CC2=C(C(OC)=C1OC)C1=CC=C(OC)C(=O)C=C1[C@H](CC2)NC(C)=O,Training,41.7,42.516727008120846,-4.16,1.125,11,1.331,0.171,1.053,5.764,5.577,3.381,1.262,3.892,1.229,3.881,8.31,1.335,4.004,4.731,1.937,4.381,0.833,1.85,3.585,1.368,1.718,2.95,-0.8167270081208429,-0.04798400138569332,Good
[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co],Training,32.2,20.36096907417224,-4.16,0.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.839030925827764,0.6955617613984082,Good
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2C(=O)CO,Training,12.6,15.401985018697635,-3.88,1.128,3,1.063,0.177,1.101,5.439,5.34,3.364,1.258,3.731,1.234,3.726,8.447,1.148,4.036,6.447,2.048,3.879,0.846,1.42,2.0,2.406,1.952,3.812,-2.8019850186976356,-0.16462104434286812,Good
CN1[C@@H](CCC1=O)C1=CN=CC=C1,Training,4.8,-1.0358885277007979,-0.18,1.131,7,1.23,0.262,1.043,5.243,4.762,3.406,1.276,3.602,1.251,3.583,7.567,1.517,3.854,3.811,1.866,3.608,0.823,1.347,3.0,0.752,0.297,0.088,5.8358885277007975,0.34286766620372827,Good
O[C@@H]1[C@H](CC2=CC=CC(=C2)C(O)=O)COC2=C1C=C(OCC1=NC3=C(S1)C=CC(F)=C3)C=C2,Training,64.6,67.20422039466456,-5.47,1.112,23,1.494,0.154,1.106,6.003,5.857,3.566,1.296,3.908,1.271,3.961,8.872,0.889,4.011,6.351,1.976,4.432,0.97,1.68,4.585,3.047,4.923,24.24,-2.6042203946645657,-0.15300206039928843,Good
CC(CC1=CC=C(OCC(O)=O)C=C1)NCC(O)C1=CSC(=N1)C(F)(F)F,Training,22.3,31.38963853115844,-4.49,1.151,12,1.278,0.176,1.019,5.803,5.619,3.271,1.235,3.713,1.183,3.775,9.558,1.011,3.876,7.474,1.924,3.937,0.884,1.407,3.7,1.369,3.025,9.152,-9.089638531158439,-0.5340306167639606,Good
O[C@@H]1[C@@H](COC2=C1C=CC(O)=C2)N1CCC(O)(CC1)C1=CC=C(F)C=C1,Training,59.6,40.90798015113208,-2.99,1.13,12,1.276,0.18,1.096,5.503,5.447,3.425,1.246,3.734,1.209,3.719,8.644,1.054,3.935,6.445,1.968,3.962,0.873,1.445,3.7,2.053,2.034,4.138,18.692019848867922,1.0981856818879407,Good
CCC1=NN(C2CCCCC2)C2=C1C=CC(=C2)[C@]1(CC[C@@H](CC1)C(O)=O)C#N,Training,62.7,57.56342847925572,-4.2,1.128,12,1.288,0.169,1.09,5.837,5.534,3.464,1.273,3.947,1.25,3.929,8.186,1.166,4.077,4.997,2.023,4.645,0.85,1.33,3.7,3.417,5.437,29.56,5.136571520744283,0.3017816877835371,Good
CS(O)(=O)=O.CCOC1=CC=CC(=C1)[C@]1(CC[C@H](C)CC1)N1CCN(CC1)C1=CC=CC=C1,Training,15.5,21.17669929780957,-4.93,1.127,12,1.237,0.171,1.089,5.432,5.445,3.419,1.26,3.705,1.249,3.695,6.296,1.412,3.955,4.292,2.0,3.963,0.807,1.314,3.7,4.343,5.832,34.01,-5.67669929780957,-0.33351504757873246,Good
CC(C)(O)C1=CC=C(CNC(=O)C2=CC=CN=C2OC2=CC=C(F)C=C2)C=C1,Training,10.5,30.906555171085884,-5.17,1.125,19,1.466,0.174,1.054,5.499,5.567,3.462,1.281,3.718,1.247,3.7,8.772,1.04,3.913,4.982,1.952,3.956,0.881,1.516,4.322,3.669,3.754,14.09,-20.406555171085884,-1.1989173394174466,Good
[Na+].CC(C)C1=CC=CC(C(C)C)=C1NC(=O)[N-]S(=O)(=O)C1=CC(=CO1)C(C)(C)O,Training,37.3,45.49819872492473,-4.27,1.131,14,1.294,0.176,1.019,6.461,5.794,3.372,1.282,3.873,1.253,3.965,8.709,1.394,3.972,6.449,1.977,4.719,0.833,1.472,3.907,1.608,3.692,13.63,-8.19819872492473,-0.48165712051336085,Good
ONC(=O)C1(CCCC1)N(CCC(O)=O)S(=O)(=O)C1=CC=C(OC2=CC=C(F)C=C2)C=C1,Training,30.0,34.911777054170464,-3.77,1.133,16,1.306,0.157,1.047,6.384,5.909,3.387,1.256,3.887,1.215,3.997,9.387,1.15,4.009,7.43,1.971,4.78,0.903,1.507,4.087,2.058,2.91,8.47,-4.911777054170464,-0.2885746579090232,Good
CC[C@@H]1C[C@H](N(CC2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F)C(C)=O)C2=C(C=CC(=C2)C(F)(F)F)N1C(=O)OC(C)C,Training,41.7,42.81493178560004,-5.16,1.173,14,1.274,0.144,1.037,5.673,5.947,3.27,1.21,3.811,1.135,3.794,10.51,1.019,3.98,7.999,2.001,4.101,0.879,1.611,3.907,5.621,7.08,50.13,-1.1149317856000351,-0.0655040029449717,Good
ONC(=O)C1(CCOCC1)NS(=O)(=O)C1=CC=C(OC2=CC=C(F)C=C2)C=C1,Training,48.4,33.389411542893185,-3.51,1.133,15,1.314,0.168,1.054,6.362,5.803,3.4,1.246,3.859,1.208,3.971,9.183,1.105,3.989,6.999,1.968,4.71,0.913,1.519,4.0,1.383,1.109,1.231,15.010588457106813,0.8818957744315402,Good
CNCC1=C(OC2=CC=C(Cl)C(Cl)=C2)C=CC(F)=C1,Training,35.5,65.23745171814426,-5.43,1.124,12,1.373,0.215,1.029,5.754,5.407,3.41,1.294,3.745,1.281,3.739,8.348,0.986,3.898,4.491,1.918,3.949,0.958,1.717,3.7,4.213,4.462,19.91,-29.737451718144257,-1.7471222455757152,Good
CC(C)(O)C1=CC=C(CNC(=O)C2=CC=CN=C2OC2=CC3=NON=C3C=C2)C=C1,Training,5.1,18.46548730480539,-3.7,1.123,23,1.559,0.166,1.083,5.694,5.681,3.54,1.297,3.831,1.263,3.799,8.025,1.105,3.948,4.96,1.952,4.367,0.891,1.587,4.585,2.565,3.118,9.723,-13.36548730480539,-0.7852434840251509,Good
CC1=CC(NC(=O)C(O)=O)=CC(C)=C1OC1=CC=C(O)C2=C1CCC2,Training,105.4,84.70457516913461,-4.25,1.12,14,1.348,0.177,1.061,5.654,5.463,3.445,1.287,3.825,1.247,3.811,8.5,1.08,3.975,6.349,1.948,4.193,0.882,1.602,3.907,2.662,4.023,16.18,20.69542483086539,1.2158888880711847,Good
C[C@@H](O)C1=NC(=CC=N1)N1[C@@H](C)CN(C[C@H]1C)C1=NC(C)=NC(C)=N1,Training,0.4,2.9236657755967514,-3.54,1.149,12,1.289,0.178,1.061,5.467,5.404,3.366,1.254,3.649,1.226,3.604,7.05,1.885,3.825,4.372,1.885,3.855,0.772,1.396,3.7,3.162,1.56,2.433,-2.5236657755967515,-0.14826934932870992,Good
C[C@@H](OC1=CC=C(CNC(=O)C2=CC=CN=C2OC2=CC=C3OCOC3=C2)C(F)=C1)C(O)=O,Training,11.1,31.961591195597386,-4.31,1.126,20,1.459,0.16,1.075,5.542,5.751,3.451,1.266,3.745,1.218,3.718,9.032,1.117,3.897,6.351,1.907,3.988,0.904,1.629,4.392,2.009,3.574,12.78,-20.861591195597384,-1.2256514243853698,Good
CCNC1=NC(NC(C)(C)C#N)=NC(Cl)=N1,Training,30.7,38.00135498734422,-2.74,1.158,7,1.253,0.224,0.976,5.556,5.135,3.25,1.264,3.609,1.242,3.559,7.231,1.919,3.69,4.323,1.752,3.843,0.796,1.363,3.0,2.031,2.336,5.456,-7.301354987344222,-0.4289661347630205,Good
CSC1=NC(NC(C)(C)C)=NC(NC2CC2)=N1,Training,86.0,56.27739114299443,-4.12,1.148,6,1.211,0.201,1.033,5.533,5.14,3.277,1.224,3.612,1.222,3.587,6.049,1.642,3.784,4.008,1.766,3.856,0.795,1.268,2.807,3.185,3.089,9.541,29.722608857005568,1.7462502040460917,Good
OC(=O)C1(CC1)C(=O)NC1=CC=C(Cl)C=C1Cl,Training,96.4,65.47825902384423,-3.7,1.119,8,1.225,0.227,1.032,5.652,5.356,3.393,1.26,3.731,1.235,3.727,8.374,1.073,3.903,5.02,1.876,3.951,1.008,1.753,3.17,2.319,2.572,6.616,30.921740976155775,1.8167011095442718,Good
O=C(C1CCC1)C1=CC=CC=C1,Training,30.8,35.08882839576762,-2.96,1.113,7,1.238,0.26,1.046,5.32,4.672,3.462,1.302,3.648,1.291,3.639,7.534,1.004,3.9,3.674,1.962,3.718,0.876,1.197,3.0,2.622,2.784,7.75,-4.28882839576762,-0.2519754405563443,Good
OC1CCCCCCCCCCC1,Training,44.9,57.27082325163595,-4.22,1.14,0,1.0,0.248,0.968,4.198,4.443,3.003,1.2,3.084,1.186,3.073,6.473,1.44,3.729,3.929,1.857,2.384,0.715,0.865,0.0,3.075,4.237,17.96,-12.370823251635954,-0.7268054002700955,Good
O=C1CCCCC1,Training,1.0,16.32537524527277,-0.7,1.134,1,1.052,0.347,0.948,4.578,3.987,3.11,1.22,3.245,1.197,3.216,7.459,1.333,3.722,3.188,1.844,2.842,0.762,0.791,1.0,1.05,1.174,1.379,-15.32537524527277,-0.900389995302608,Good
ON=C1CCCCC1,Training,11.1,15.492223673574548,-1.28,1.147,1,1.074,0.31,0.959,4.667,4.111,3.068,1.188,3.274,1.153,3.248,6.564,1.271,3.724,3.474,1.848,3.055,0.738,0.873,1.0,0.981,1.261,1.591,-4.392223673574549,-0.25805007639455046,Good
C[C@H]1C[C@H](C)C(=O)[C@@H](C1)[C@H](O)CC1CC(=O)NC(=O)C1,Training,10.8,7.0687628388045685,-2.06,1.137,3,1.047,0.208,1.026,5.062,5.116,3.232,1.245,3.499,1.207,3.478,8.656,1.36,3.859,6.448,1.936,3.338,0.805,1.18,2.0,1.017,0.793,0.629,3.7312371611954323,0.2192160750568216,Good
NC1CCCCC1,Training,11.8,11.860930959188016,-1.1,1.149,0,1.0,0.339,0.953,4.258,3.847,2.998,1.178,3.115,1.165,3.108,4.977,1.374,3.727,3.229,1.865,2.414,0.698,0.737,0.0,1.195,1.211,1.466,-0.060930959188015166,-0.003579790065760567,Good
O=C(C1CCCCC1)C1=CC=CC=C1,Training,45.5,47.25915789155966,-4.04,1.118,7,1.211,0.244,1.039,5.307,4.773,3.399,1.267,3.642,1.255,3.633,7.544,1.079,3.891,3.674,1.949,3.716,0.846,1.133,3.0,3.175,3.696,13.66,-1.75915789155966,-0.10335330393991643,Good
C[C@@H]1C2NC[C@@H](C)C[C@H]2O[C@]11CCC2C3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC2=C1C,Training,-3.7,6.406406823587841,-5.03,1.13,2,1.09,0.164,1.149,5.432,5.485,3.421,1.263,3.786,1.249,3.78,6.891,1.235,4.063,4.309,2.004,4.03,0.827,1.36,1.585,4.568,4.263,18.17,-10.106406823587841,-0.5937673594793952,Good
O.ClCCN(CCCl)P1(=O)NCCCO1,Training,63.3,35.6044182589274,-1.24,1.15,1,1.021,0.243,0.973,5.464,5.309,3.064,1.205,3.508,1.228,3.858,7.589,2.186,3.733,4.492,1.792,3.959,0.848,1.226,1.0,1.966,0.861,0.742,27.695581741072594,1.627159160193438,Good
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)C1=CC=C(F)C(OC2=CC=CC=C2)=C1,Training,48.1,52.19217077801977,-5.82,1.117,15,1.332,0.166,1.052,5.762,5.786,3.462,1.297,3.76,1.277,3.747,8.851,0.966,3.965,5.066,1.921,3.944,0.97,1.62,4.0,4.279,5.617,31.55,-4.092170778019771,-0.24042149498004745,Good
CCCCOC(=O)[C@@H](C)OC1=CC=C(OC2=C(F)C=C(C=C2)C#N)C=C1,Training,51.1,59.98879556206063,-5.01,1.127,14,1.364,0.174,1.021,5.527,5.476,3.367,1.27,3.739,1.234,3.721,8.824,1.088,3.889,4.929,1.911,3.936,0.859,1.38,3.907,3.367,5.085,25.86,-8.88879556206063,-0.5222307751869447,Good
CC1=NC(NC2=CC=CC=C2)=NC(=C1)C1CC1,Training,91.0,70.54216872968424,-3.37,1.125,12,1.363,0.223,1.089,5.458,5.07,3.535,1.276,3.69,1.26,3.663,6.07,1.263,3.902,4.059,1.899,3.885,0.862,1.395,3.7,3.04,3.445,11.87,20.457831270315765,1.2019298912150915,Good
NC1=NC(NC2CC2)=NC(N)=N1,Training,24.2,28.104900497919523,-1.79,1.174,6,1.236,0.262,1.046,5.384,4.723,3.313,1.192,3.584,1.147,3.523,6.182,1.82,3.773,4.254,1.668,3.813,0.765,1.215,2.807,1.22,0.314,0.099,-3.904900497919524,-0.2294190703136896,Good
Cl.NC1=NC(=O)N(C=C1)C1OC(CO)[C@@H](O)C1O,Training,8.7,12.057988985565922,-0.74,1.154,3,1.134,0.226,1.033,5.278,5.012,3.21,1.203,3.563,1.137,3.512,8.193,1.639,3.752,6.399,1.738,3.543,0.79,1.286,2.0,-1.176,-2.427,5.891,-3.357988985565923,-0.19728715535840027,Good
NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1,Training,25.0,49.911555745203586,-2.94,1.118,14,1.37,0.202,1.034,6.402,5.47,3.542,1.308,3.949,1.29,4.069,8.239,0.889,4.056,5.098,2.026,4.863,0.961,1.761,3.907,2.061,1.439,2.072,-24.911555745203586,-1.4635932368000748,Good
ClC1=CC=C(C=C1)C(C1=CC=C(Cl)C=C1)C(Cl)(Cl)Cl,Training,14.9,21.761174993664127,-8.0,1.094,12,1.334,0.191,1.028,5.951,5.686,3.482,1.342,3.761,1.375,3.769,6.651,0.913,3.955,4.352,1.978,3.888,1.161,2.022,3.7,6.166,6.331,40.08,-6.861174993664127,-0.4031048650649637,Good
CCCCCCCCCC=O,Training,94.7,64.95694019700052,-4.31,1.141,1,1.033,0.271,0.876,4.057,4.303,2.912,1.215,2.989,1.203,2.973,7.495,1.55,3.667,3.782,1.811,1.975,0.683,0.774,1.0,3.661,3.678,13.53,29.743059802999483,1.747451729416446,Good
OC(=O)CCCCCCCCC(O)=O,Training,39.5,42.45749070474813,-2.35,1.143,2,1.049,0.244,0.9,4.473,4.689,2.962,1.196,3.157,1.139,3.106,8.429,1.455,3.67,6.35,1.805,2.711,0.729,0.875,1.585,1.742,2.327,5.416,-2.957490704748132,-0.17375724895069486,Good
CCCCCCCCCC(O)=O,Training,93.7,74.88915813538341,-3.26,1.143,1,1.03,0.262,0.885,4.454,4.438,2.914,1.2,3.142,1.168,3.088,7.76,1.527,3.668,4.046,1.81,2.71,0.691,0.805,1.0,3.593,3.63,13.18,18.81084186461659,1.1051666629399244,Good
CCN(CC)C(=O)C1=CC=CC(C)=C1,Training,51.8,43.94415984221517,-2.06,1.13,7,1.243,0.249,0.971,5.401,4.785,3.282,1.265,3.684,1.251,3.674,7.556,1.478,3.883,3.892,1.931,3.815,0.761,1.315,3.0,2.821,2.428,5.894,7.855840157784826,0.4615430140901599,Good
CC(=O)C1C(=O)OC(C)=CC1=O,Training,41.0,30.290814518921565,-0.86,1.125,4,1.155,0.242,0.971,5.343,4.749,3.273,1.28,3.618,1.223,3.578,8.56,1.288,3.76,4.603,1.796,3.629,0.867,1.596,2.322,-0.27,-0.293,0.086,10.709185481078435,0.6291815574288959,Good
C[C@]12CCC3C(CC=C4C[C@@H](O)CC[C@]34C)C1CCC2=O,Training,37.5,27.2977111749602,-3.82,1.127,2,1.069,0.196,1.12,5.391,5.141,3.393,1.266,3.711,1.249,3.707,7.801,1.151,4.028,4.22,2.053,3.855,0.84,1.362,1.585,3.696,3.198,10.23,10.202288825039801,0.5994005784678546,Good
CCNC1=NC(N)=NC(Cl)=N1,Training,20.2,21.19004765963042,-2.34,1.172,6,1.258,0.263,0.969,5.525,4.815,3.206,1.236,3.582,1.208,3.53,6.168,2.11,3.624,4.071,1.678,3.809,0.788,1.37,2.807,1.586,1.254,1.573,-0.9900476596304202,-0.05816686334508907,Good
[O-]C(=O)C1=CC=CC=C1.CC[N+](CC)(CC(=O)NC1=C(C)C=CC=C1C)CC1=CC=CC=C1,Training,12.7,13.025426496472525,-6.68,1.129,13,1.299,0.188,1.021,5.458,5.332,3.373,1.284,3.716,1.27,3.71,7.655,1.446,3.911,4.298,1.954,3.995,0.777,1.344,3.807,0.257,3.069,9.416,-0.32542649647252553,-0.019119320534785787,Good
O=C1[N-]S(=O)(=O)C2=C1C=CC=C2.CC[N+](CC)(CC(=O)NC1=C(C)C=CC=C1C)CC1=CC=CC=C1,Training,21.5,13.025426496472525,-6.68,1.129,13,1.299,0.188,1.021,5.458,5.332,3.373,1.284,3.716,1.27,3.71,7.655,1.446,3.911,4.298,1.954,3.995,0.777,1.344,3.807,0.257,3.069,9.416,8.474573503527475,0.4978945751678329,Good
[Na+].[Na+].C[C@@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COP([O-])([O-])=O,Training,7.1,7.3513819137905925,-2.22,1.135,5,1.102,0.157,1.079,6.228,5.818,3.338,1.234,3.829,1.198,3.838,9.312,1.122,4.051,7.426,2.042,4.166,0.889,1.579,2.585,1.925,0.831,0.691,-0.2513819137905928,-0.014769084381597072,Good
CCCCCCCCOC(=O)C1=C(C=CC=C1)C(=O)OCCCCCCCC,Training,15.1,11.599966460666655,-6.86,1.132,8,1.211,0.156,0.985,5.516,5.384,3.168,1.234,3.735,1.212,3.719,8.249,1.42,3.887,4.425,1.917,4.037,0.755,1.026,3.17,6.338,7.848,61.59,3.5000335393333444,0.20563249718869966,Good
CC(C)(C)OOC(C)(C)C,Training,6.8,9.283523285388391,-1.98,1.148,0,1.0,0.296,0.867,4.672,4.305,2.87,1.192,3.263,1.161,3.217,5.539,1.75,3.589,3.467,1.713,3.177,0.638,0.898,0.0,2.205,2.9,8.411,-2.483523285388391,-0.1459109146416839,Good
CCCCC(CC)COC(=O)C1=C(C=CC=C1)C(=O)OCC(CC)CCCC,Training,5.6,13.651804315004506,-6.56,1.132,8,1.211,0.162,0.985,5.518,5.397,3.183,1.232,3.736,1.21,3.72,8.252,1.42,3.89,4.438,1.919,4.038,0.756,1.11,3.17,5.426,7.574,57.37,-8.051804315004507,-0.47305621776541307,Good
CC(=O)CC(C)(C)O,Training,-17.0,-5.40306640039072,0.1,1.145,1,1.048,0.332,0.837,4.734,4.159,2.913,1.225,3.324,1.177,3.294,7.733,1.548,3.635,3.753,1.745,3.186,0.681,0.977,1.0,0.561,-0.085,0.007,-11.59693359960928,-0.6813381611975666,Good
C=CCOC(=O)C1=C(C=CC=C1)C(=O)OCC=C,Training,65.2,59.92122213720749,-3.67,1.117,10,1.286,0.199,0.979,5.517,5.105,3.33,1.275,3.735,1.235,3.719,8.247,1.232,3.884,4.75,1.916,4.038,0.841,1.511,3.459,2.95,2.774,7.697,5.278777862792516,0.31013653493080706,Good
CCOP(=S)(OCC)OC1=NC(=NC(C)=C1)C(C)C,Training,39.1,61.81451616439352,-3.94,1.136,7,1.216,0.211,0.979,6.346,5.497,3.214,1.251,3.68,1.263,4.009,6.393,1.624,3.792,4.24,1.837,3.955,0.8,1.394,3.0,2.433,3.137,9.838,-22.714516164393515,-1.3345136921764995,Good
OCNC(=O)N(CO)C1N(CO)C(=O)N(CO)C1=O,Training,9.7,12.249815027720624,-0.98,1.168,3,1.049,0.21,0.979,5.157,5.117,3.064,1.171,3.57,1.092,3.502,8.895,2.472,3.698,6.464,1.617,3.668,0.724,1.469,2.0,-2.192,-3.169,10.05,-2.5498150277206246,-0.14980565918215008,Good
S1C2=C(C=CC=C2)C2=C1C=CC=C2,Training,15.7,27.019760454275996,-4.07,1.075,15,1.531,0.239,1.121,6.134,5.121,3.85,1.392,4.05,1.419,4.108,5.77,0.67,4.153,3.767,1.987,4.793,1.065,1.94,4.0,3.876,3.892,15.15,-11.319760454275997,-0.6650538012370089,Good
CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,Training,70.8,60.64157624459503,-4.67,1.129,8,1.243,0.186,0.98,5.516,5.125,3.218,1.237,3.735,1.206,3.719,8.227,1.381,3.885,4.429,1.917,4.037,0.781,1.178,3.17,3.618,4.198,17.62,10.158423755404968,0.5968234363613577,Good
CCCCOC(=O)CCCCC(=O)OCCCC,Training,9.9,37.926416068147674,-3.52,1.142,2,1.036,0.217,0.922,4.579,4.898,2.977,1.196,3.208,1.164,3.151,8.199,1.678,3.639,4.438,1.75,2.845,0.703,0.881,1.585,2.849,3.662,13.41,-28.026416068147675,-1.6465961993153975,Good
CCCCOC(=O)CCCCCCCC(=O)OCCCC,Training,29.2,32.99147790528162,-4.88,1.141,2,1.03,0.2,0.932,4.539,5.028,2.986,1.199,3.188,1.171,3.133,8.208,1.647,3.677,4.442,1.798,2.83,0.704,0.867,1.585,3.598,5.03,25.31,-3.7914779052816208,-0.2227553138954608,Good
CCCCOC(=O)CCCCCCCCC(=O)OCCCC,Training,-0.5,16.690015847884883,-5.31,1.141,2,1.028,0.196,0.935,4.534,5.068,2.988,1.199,3.185,1.172,3.13,8.211,1.639,3.685,4.442,1.808,2.829,0.704,0.862,1.585,3.836,5.487,30.1,-17.190015847884883,-1.0099405750800814,Good
COC1=C(Cl)C=CC(Cl)=C1C(O)=O,Training,62.8,73.58857585757607,-2.71,1.115,7,1.275,0.236,0.973,5.797,5.142,3.306,1.277,3.803,1.255,3.798,7.887,1.109,3.876,4.679,1.878,4.218,1.015,2.251,3.0,2.622,2.747,7.545,-10.788575857576078,-0.6338458674100713,Good
ClC(Cl)C(=O)N(CC=C)CC=C,Training,17.2,20.947118634522887,-2.56,1.134,3,1.086,0.265,0.888,5.283,4.989,3.104,1.271,3.368,1.271,3.34,7.632,1.746,3.627,4.678,1.719,3.23,0.84,1.374,2.0,2.07,2.003,4.012,-3.747118634522888,-0.22014913669256309,Good
OC1=CC=C(Cl)C=C1CC1=CC(Cl)=CC=C1O,Training,105.5,104.7442824474245,-3.94,1.104,12,1.387,0.23,1.032,5.662,5.333,3.473,1.313,3.762,1.305,3.76,7.347,0.809,3.931,4.874,1.956,3.963,1.013,1.803,3.7,3.842,4.599,21.15,0.7557175525755042,0.04439959953498977,Good
CC(OC1=C(Cl)C=C(Cl)C=C1)C(O)=O,Training,81.7,81.64208284669448,-2.79,1.118,7,1.252,0.248,0.971,5.634,5.172,3.286,1.276,3.701,1.255,3.703,7.89,1.151,3.845,4.658,1.863,3.884,0.973,1.654,3.0,2.646,3.189,10.17,0.057917153305524494,0.0034027242111926157,Good
COP(=O)(OC)OC=C(Cl)Cl,Training,13.9,15.276491242970417,-1.36,1.14,2,1.105,0.285,0.876,5.446,5.259,2.998,1.201,3.466,1.224,3.801,7.643,2.273,3.546,4.315,1.529,3.845,0.932,1.932,1.585,1.246,0.474,0.224,-1.3764912429704168,-0.08087103408280398,Good
OC(C1=CC=C(Cl)C=C1)(C1=CC=C(Cl)C=C1)C(Cl)(Cl)Cl,Training,64.6,62.900567031281,-6.56,1.098,12,1.322,0.181,1.027,6.032,5.722,3.455,1.319,3.817,1.34,3.82,7.171,0.872,3.957,4.914,1.971,4.194,1.156,2.137,3.7,5.149,5.62,31.59,1.6994329687189946,0.09984437041396295,Good
